Name,InitialSpeed,MaxSpeed,SpeedIncrPerSecond,Damage,DamageRange,IsAOE,Model,LaunchFX,ImpactFX,launch_sfx,impact_sfx,sfx_volume
,,,,701,,,,,,,,
,,,,771,,,,,,,,
,,,,848,,,,,,,,
,,,,932,,,,,,,,
,,,,1025,,,,,,,,
,,,,1127,,,,,,,,
DestroyerBattery,500,,,250,,,colossus_bullet,projectiles/LaunchFx_Sm_01,projectiles/ImpactFx_Sm_01,,,
,,,,275,,,,,,,,
,,,,302,,,,,,,,
,,,,332,,,,,,,,
,,,,365,,,,,,,,
,,,,401,,,,,,,,
,,,,441,,,,,,,,
,,,,485,,,,,,,,
,,,,533,,,,,,,,
,,,,586,,,,,,,,
StealthTankBattery,500,,,600,,,colossus_bullet,projectiles/LaunchFx_Sm_01,projectiles/ImpactFx_Sm_01,,,
,,,,660,,,,,,,,
,,,,726,,,,,,,,
,,,,798,,,,,,,,
,,,,877,,,,,,,,
,,,,964,,,,,,,,
,,,,1060,,,,,,,,
,,,,1166,,,,,,,,
,,,,1282,,,,,,,,
,,,,1410,,,,,,,,
GProjectile,1000,,,300,0,,interceptor_MedBullet,projectiles/LaunchFx_01,projectiles/ImpactFx_01,,,
,,,,330,,,,,,,,
,,,,363,,,,,,,,
,,,,399,,,,,,,,
,,,,438,,,,,,,,
,,,,481,,,,,,,,
,,,,529,,,,,,,,
,,,,581,,,,,,,,
,,,,639,,,,,,,,
,,,,702,,,,,,,,
GaiaBullet,2000,,,12,0,,interceptor_MedBullet,projectiles/LaunchFx_01,projectiles/ImpactFx_01,sfx_interceptor_projectile_launch,,30
,,,,13,,,,,,,,
,,,,14,,,,,,,,
,,,,15,,,,,,,,
,,,,16,,,,,,,,
,,,,17,,,,,,,,
,,,,18,,,,,,,,
,,,,19,,,,,,,,
,,,,20,,,,,,,,
,,,,22,,,,,,,,
